open_time,open,high,low,close,candle_cvd,buy_vol,sell_vol,avg_imbalance,cvd_dominance,cvd_aligned
1778005200000,81446.35,81446.35,81435.24,81435.24,-0.475170,0.092510,0.567680,-0.773500,0.719747,1
1778005500000,81435.24,81476.10,81422.04,81459.38,1.047090,10.259560,9.212470,0.028055,0.053774,1
1778005800000,81459.38,81491.14,81426.08,81491.14,-1.761850,8.006930,9.768780,-0.028688,0.099116,0
1778006100000,81491.14,81519.99,81453.14,81453.14,-1.761850,8.006930,9.768780,-0.373388,0.099116,1
1778007000000,81439.25,81444.55,81431.15,81444.55,0.000000,0.000000,0.000000,0.424539,0.000000,0,0.000000
1778007300000,81467.85,81473.55,81463.65,81463.65,0.000000,0.000000,0.000000,-0.043376,0.000000,1,0.000000
1778007900000,81426.65,81426.65,81426.65,81426.65,0.000000,0.000000,0.000000,0.569462,0.000000,1,0.000000
0,81211.75,81299.75,81211.75,81273.35,8.372000,60.237000,51.865000,0.082074,0.074682,1,0
